Date,Close,Volume
2024-05-22,267.3052673339844,597796
2024-05-23,271.0635986328125,749018
2024-05-24,270.02557373046875,564716
2024-05-27,269.7563781738281,371943
2024-05-28,271.0251770019531,637279
2024-05-29,267.4110107421875,791780
2024-05-30,267.5263366699219,513532
2024-05-31,269.2373352050781,4551409
2024-06-03,270.4292297363281,546335
2024-06-04,271.0635986328125,579240
2024-06-05,274.77392578125,927555
2024-06-06,278.27276611328125,648360
2024-06-07,277.7921447753906,494656
2024-06-11,275.1968688964844,767910
2024-06-12,271.28472900390625,708022
2024-06-13,276.79248046875,917566
2024-06-14,277.8882751464844,622946
2024-06-17,277.59991455078125,696537
2024-06-18,282.4732666015625,846827
2024-06-19,281.63702392578125,590050
2024-06-20,279.46466064453125,1311359
2024-06-21,281.63702392578125,1732957
2024-06-24,280.6854248046875,528787
2024-06-25,282.3099060058594,644434
2024-06-26,283.4441223144531,844641
2024-06-27,283.7132568359375,565183
2024-06-28,283.7613220214844,780313
2024-07-01,281.2525634765625,609689
2024-07-02,280.7527160644531,431077
2024-07-03,283.4633483886719,524893
2024-07-04,285.9625244140625,541262
2024-07-05,288.125244140625,656741
2024-07-08,284.09771728515625,587421
2024-07-09,286.95257568359375,542846
2024-07-10,286.1163024902344,578607
2024-07-11,290.3264465332031,592633
2024-07-12,294.7096252441406,707100
2024-07-15,296.59356689453125,643885
2024-07-16,295.92071533203125,639461
2024-07-17,296.0744934082031,617254
2024-07-18,299.0543212890625,712862
2024-07-19,299.6118469238281,1374357
2024-07-22,297.1895751953125,409498
2024-07-23,300.04437255859375,594937
2024-07-24,298.3526306152344,500616
2024-07-25,293.6907043457031,850479
2024-07-26,296.1033630371094,840352
2024-07-29,299.2561950683594,554622
2024-07-30,297.2952880859375,443457
2024-07-31,297.7086181640625,953714
2024-08-01,298.54486083984375,480984
2024-08-02,293.8157043457031,1183482
2024-08-05,289.42291259765625,701094
2024-08-06,290.57635498046875,618358
2024-08-07,292.60455322265625,665250
2024-08-08,293.6234436035156,462827
2024-08-09,296.56475830078125,769182
2024-08-12,296.94921875,367581
2024-08-13,283.3480224609375,1352371
2024-08-14,289.105712890625,785377
2024-08-15,289.4421081542969,764880
2024-08-16,293.49847412109375,1257111
2024-08-19,295.8630676269531,514780
2024-08-20,296.2956237792969,447410
2024-08-21,296.52630615234375,537204
2024-08-22,296.15142822265625,370120
2024-08-23,297.516357421875,481242
2024-08-26,297.31451416015625,339611
2024-08-27,295.9783935546875,258822
2024-08-28,295.9591979980469,655985
2024-08-29,295.988037109375,461595
2024-08-30,295.2478942871094,1559007
2024-09-02,293.8829650878906,420047
2024-09-03,294.1617126464844,477231
2024-09-04,292.2008361816406,529640
2024-09-05,291.3453369140625,740417
