Date,Close,Volume
2024-05-22,114.3546371459961,1428336
2024-05-23,113.62992095947266,1535204
2024-05-24,111.87930297851562,1902826
2024-05-27,113.0369644165039,1111552
2024-05-28,113.234619140625,1699877
2024-05-29,111.3804702758789,1768394
2024-05-30,111.05105590820312,1327847
2024-05-31,112.50990295410156,3397759
2024-06-03,114.156982421875,1686338
2024-06-04,115.2581787109375,2230997
2024-06-05,116.20877838134766,2389848
2024-06-06,117.50762176513672,2636419
2024-06-07,118.16645812988281,1414714
2024-06-11,117.58292388916016,2514626
2024-06-12,116.8017349243164,1809137
2024-06-13,118.10057830810547,2582193
2024-06-14,117.94056701660156,1597350
2024-06-17,118.1099853515625,1531082
2024-06-18,120.45355224609375,2236320
2024-06-19,119.47471618652344,2012104
2024-06-20,120.23707580566406,3548847
2024-06-21,120.17119598388672,7145883
2024-06-24,119.34294128417969,1767854
2024-06-25,121.0653305053711,2092832
2024-06-26,119.43705749511719,1900389
2024-06-27,118.7782211303711,2021794
2024-06-28,119.88883972167969,2190551
2024-07-01,118.7782211303711,1585105
2024-07-02,118.2699966430664,1457744
2024-07-03,118.00645446777344,1441307
2024-07-04,120.34060668945312,1394064
2024-07-05,119.62529754638672,1084617
2024-07-08,119.03235626220703,1027669
2024-07-09,121.1218032836914,1781761
2024-07-10,120.9806137084961,1246766
2024-07-11,122.27945709228516,1598054
2024-07-12,123.91712951660156,1965561
2024-07-15,124.88656616210938,1364623
2024-07-16,124.65125274658203,1732649
2024-07-17,125.64892578125,1919380
2024-07-18,124.85833740234375,2061262
2024-07-19,123.88890075683594,4022762
2024-07-22,123.93596649169922,1192662
2024-07-23,125.3100814819336,1351942
2024-07-24,124.97126007080078,1130255
2024-07-25,124.8018569946289,1796200
2024-07-26,125.3100814819336,1901929
2024-07-29,126.9665756225586,1391737
2024-07-30,127.95482635498047,1937077
2024-07-31,129.40426635742188,2235562
2024-08-01,128.2560272216797,1586163
2024-08-02,124.67009735107422,3839143
2024-08-05,117.54527282714844,3591234
2024-08-06,120.18060302734375,2570052
2024-08-07,119.85118865966797,1843515
2024-08-08,121.51709747314453,1663083
2024-08-09,121.93121337890625,1941651
2024-08-12,122.85357666015625,886756
2024-08-13,124.7265625,1465262
2024-08-14,126.3171615600586,1734568
2024-08-15,126.9665756225586,2248327
2024-08-16,130.0066375732422,4427410
2024-08-19,131.06076049804688,1937287
2024-08-20,131.3901824951172,1651316
2024-08-21,130.36474609375,3533301
2024-08-22,130.77684020996094,1565951
2024-08-23,131.10267639160156,1738992
2024-08-26,133.0289764404297,1888745
2024-08-27,131.70643615722656,2163558
2024-08-28,132.79898071289062,2608279
2024-08-29,133.01939392089844,2115830
2024-08-30,133.6902313232422,4322628
2024-09-02,135.86569213867188,1751323
2024-09-03,137.4086456298828,1892624
2024-09-04,134.11190795898438,2211376
2024-09-05,135.46319580078125,1585378
2024-09-06,137.49488830566406,2666532
2024-09-09,136.99655151367188,1988596
2024-09-10,137.78240966796875,2029126
2024-09-11,135.17567443847656,2649391
2024-09-12,137.00613403320312,1811911
2024-09-13,135.7506866455078,1991893
2024-09-16,137.03488159179688,1751879
2024-09-17,137.08279418945312,1556054
2024-09-18,137.3511505126953,1505418
2024-09-19,138.02198791503906,3443075
2024-09-20,138.48199462890625,6443818
2024-09-23,136.45986938476562,1459099
2024-09-24,132.31019592285156,3339377
2024-09-25,129.27223205566406,3752515
2024-09-26,128.7547149658203,2993957
2024-09-27,128.5726318359375,2154557
2024-09-30,129.7513885498047,3416736
2024-10-01,127.7867660522461,1744679
2024-10-02,128.60137939453125,2344849
2024-10-03,129.00387573242188,1851459
2024-10-04,127.21177673339844,1502412
2024-10-07,129.15721130371094,934904
2024-10-08,129.348876953125,1587040
2024-10-09,129.98141479492188,1218703
2024-10-10,130.51809692382812,1622621
2024-10-11,129.99099731445312,1423248
2024-10-14,131.12185668945312,1020864
2024-10-15,133.4889678955078,1849572
2024-10-16,133.9777374267578,1708261
2024-10-17,136.0861053466797,3271793
2024-10-18,136.90072631835938,3075255
2024-10-21,138.43406677246094,1753172
2024-10-22,135.34817504882812,1577016
2024-10-23,135.87527465820312,741238
2024-10-24,137.45655822753906,1337219
2024-10-25,138.02198791503906,1271615
2024-10-28,136.91030883789062,1013407
2024-10-29,138.16574096679688,1941541
2024-10-30,136.9773712158203,1231647
2024-10-31,136.80487060546875,2175927
2024-11-01,136.17236328125,1495906
2024-11-04,138.33824157714844,1396336
2024-11-05,137.8590850830078,1165546
2024-11-06,139.4020233154297,1384689
2024-11-07,141.12704467773438,1775473
2024-11-08,143.1012725830078,1953987
2024-11-11,143.5516815185547,2056899
2024-11-12,143.99252319335938,1574831
2024-11-13,143.38876342773438,1812592
2024-11-14,146.4746551513672,1822727
2024-11-15,148.66928100585938,2493400
2024-11-18,146.64718627929688,2012422
2024-11-19,149.12930297851562,2361297
2024-11-20,149.8672332763672,1749644
2024-11-21,149.73306274414062,1859501
2024-11-22,152.4068603515625,3988790
2024-11-25,153.4706268310547,3945712
2024-11-26,148.02720642089844,2006021
2024-11-27,151.0076904296875,1932684
2024-11-28,151.97561645507812,1379244
2024-11-29,151.97561645507812,2141565
2024-12-02,151.6018524169922,1160349
2024-12-03,151.20892333984375,1926463
2024-12-04,150.39431762695312,1233214
2024-12-05,151.41018676757812,1357790
2024-12-06,150.51890563964844,1645382
2024-12-09,152.74229431152344,1679852
2024-12-10,151.065185546875,2413796
2024-12-11,150.9597625732422,1478648
2024-12-12,150.9597625732422,1065886
2024-12-13,151.6210174560547,1347793
2024-12-16,152.03309631347656,1709323
2024-12-17,154.41941833496094,2381043
2024-12-18,153.0777130126953,1827986
2024-12-19,149.49346923828125,3458022
2024-12-20,144.00209045410156,7340421
2024-12-23,148.23802185058594,1324530
2024-12-24,148.65969848632812,679055
2024-12-27,149.70431518554688,1175643
2024-12-30,148.6213836669922,817557
2024-12-31,146.8675994873047,853239
2025-01-02,147.17425537109375,878386
2025-01-03,148.57345581054688,888021
2025-01-06,149.52223205566406,1032059
2025-01-07,150.56683349609375,1035090
2025-01-08,153.0968780517578,2260821
2025-01-09,152.17684936523438,1243612
2025-01-10,149.5509796142578,1887834
2025-01-13,146.3979949951172,1493414
2025-01-14,145.63131713867188,1203687
2025-01-15,144.97006225585938,1189652
2025-01-16,149.26345825195312,2662759
2025-01-17,147.49049377441406,3930360
2025-01-20,148.60220336914062,887899
2025-01-21,149.69473266601562,1191280
2025-01-22,151.18017578125,1263536
2025-01-23,151.2760009765625,1088333
2025-01-24,152.0426788330078,1821566
2025-01-28,152.64645385742188,1619685
2025-01-29,152.46437072753906,1318566
2025-01-30,153.9210662841797,1206445
2025-01-31,153.87313842773438,2896059
2025-02-03,151.5443572998047,1299935
2025-02-04,151.1322479248047,1174484
2025-02-05,151.96603393554688,1594857
2025-02-06,155.8665313720703,2051681
2025-02-07,155.89527893066406,1676158
2025-02-10,156.04861450195312,1431527
2025-02-11,155.40650939941406,1530120
2025-02-12,159.06741333007812,2199814
2025-02-13,159.77659606933594,1843099
