F2.1 CAPITAL MARKET YIELDS – GOVERNMENT BONDS
Title,Australian Government 2 year bond,Australian Government 3 year bond,Australian Government 5 year bond,Australian Government 10 year bond,Australian Government Indexed Bond
Description,"Yields on Australian government bonds, interpolated, 2 years maturity","Yields on Australian government bonds, interpolated, 3 years maturity","Yields on Australian government bonds, interpolated, 5 years maturity","Yields on Australian government bonds, interpolated, 10 years maturity","Yields on Australian government indexed bonds, interpolated, 10 years maturity"
Frequency,Monthly,Monthly,Monthly,Monthly,Monthly
Type,Original,Original,Original,Original,Original
Units,Per cent per annum,Per cent per annum,Per cent per annum,Per cent per annum,Per cent per annum


Source,RBA,RBA,RBA,RBA,RBA
Publication date,07-Apr-2026,07-Apr-2026,07-Apr-2026,07-Apr-2026,07-Apr-2026
Series ID,FCMYGBAG2,FCMYGBAG3,FCMYGBAG5,FCMYGBAG10,FCMYGBAGI
31-Mar-2017,1.812,1.984,2.294,2.804,0.844
30-Apr-2017,1.671,1.801,2.088,2.557,0.630
31-May-2017,1.656,1.774,2.050,2.548,0.603
30-Jun-2017,1.656,1.763,1.987,2.421,0.590
31-Jul-2017,1.780,1.951,2.212,2.664,0.782
31-Aug-2017,1.776,1.940,2.186,2.626,0.799
30-Sep-2017,1.894,2.056,2.297,2.710,0.864
31-Oct-2017,1.905,2.067,2.338,2.768,0.924
30-Nov-2017,1.785,1.923,2.172,2.565,0.733
31-Dec-2017,1.901,2.045,2.272,2.583,0.716
31-Jan-2018,1.983,2.173,2.408,2.747,0.788
28-Feb-2018,1.958,2.131,2.415,2.845,0.866
31-Mar-2018,1.984,2.098,2.357,2.713,0.752
30-Apr-2018,2.069,2.180,2.415,2.734,0.784
31-May-2018,2.029,2.169,2.415,2.790,0.843
30-Jun-2018,2.048,2.134,2.357,2.697,0.744
31-Jul-2018,2.021,2.087,2.290,2.637,0.691
31-Aug-2018,1.997,2.052,2.239,2.590,0.710
30-Sep-2018,2.026,2.064,2.248,2.631,0.775
31-Oct-2018,2.001,2.064,2.278,2.682,0.783
30-Nov-2018,2.039,2.114,2.320,2.683,0.813
31-Dec-2018,1.945,1.930,2.097,2.431,0.714
31-Jan-2019,1.844,1.778,1.912,2.271,0.639
28-Feb-2019,1.738,1.666,1.743,2.126,0.519
31-Mar-2019,1.595,1.526,1.589,1.957,0.435
30-Apr-2019,1.458,1.405,1.481,1.865,0.321
31-May-2019,1.234,1.205,1.291,1.655,0.164
30-Jun-2019,1.008,0.995,1.066,1.386,-0.028
31-Jul-2019,0.933,0.921,0.996,1.320,-0.037
31-Aug-2019,0.730,0.687,0.713,0.959,-0.214
30-Sep-2019,0.804,0.778,0.810,1.035,-0.173
31-Oct-2019,0.717,0.700,0.766,1.037,-0.222
30-Nov-2019,0.791,0.766,0.858,1.152,-0.215
31-Dec-2019,0.799,0.767,0.874,1.202,-0.192
31-Jan-2020,0.763,0.745,0.853,1.159,-0.275
29-Feb-2020,0.697,0.670,0.738,0.984,-0.339
31-Mar-2020,0.386,0.379,0.500,0.884,0.157
30-Apr-2020,0.224,0.254,0.421,0.854,0.181
31-May-2020,0.244,0.247,0.395,0.903,0.099
30-Jun-2020,0.265,0.263,0.403,0.928,-0.099
31-Jul-2020,0.261,0.278,0.425,0.897,-0.228
31-Aug-2020,0.269,0.270,0.425,0.905,-0.445
30-Sep-2020,0.224,0.230,0.393,0.894,-0.391
31-Oct-2020,0.140,0.142,0.291,0.802,-0.575
30-Nov-2020,0.096,0.112,0.286,0.856,-0.534
31-Dec-2020,0.092,0.107,0.343,0.976,-0.769
